"time","signal"
"23JUN17:23:00",726.4416667
"23JUN17:23:30",732.105
"26JUN17:00:00",1055.7333333
"26JUN17:00:30",1221.0383333
"26JUN17:01:00",1265.3116667
"26JUN17:01:30",1205.3883333
"26JUN17:02:00",1151.5616667
"26JUN17:02:30",1168.4933333
"26JUN17:03:00",1130.535
"26JUN17:03:30",1096.7866667
"26JUN17:04:00",1009.3183333
"26JUN17:04:30",924.025
"26JUN17:05:00",949.4466667
"26JUN17:05:30",1119.4766667
"26JUN17:06:00",1094.7983333
"26JUN17:06:30",1259.9066667
"26JUN17:07:00",1315.37
"26JUN17:07:30",1236.4716667
"26JUN17:08:00",1376.1116667
